name,title,expertise_topics
Jenny X. Chen,Assistant Professor of Otolaryngology-Head and Neck Surgery,"healthcare,education,wellness,arts,technology"
Taran Gujral,Associate Professor,"science,wellness,AI,technology,lifestyle"
Carl Mitchell,Associate Director of Advancement,"innovation,technology,business,social impact,education"
Ed Schmerling,Research Scientist,"AI,education,science,technology,leadership"
Marko Ivanković,Senior Staff Software Engineer at Google / Senior Manager,"leadership,AI,technology,innovation,education"
James Bedford,Senior Economist,"social impact,business,innovation,healthcare,education"
Rahul Bhui,"Class of 1958 Career Development Assistant Professor, Assistant Professor of Marketing","business,education,social impact,leadership,arts"
Laurel Glenn,Research Associate,"wellness,social impact,healthcare,technology,AI"
Linda Kaboolian,Instructor in Health Policy and Management,"leadership,education,healthcare,wellness,social impact"
Ping Liu,"Senior Software Developer - Research / Lead, Aim 2 - Anodes; Professor, Nanoengineering","science,technology,AI,leadership,education"
Matthew Grennan,Professor,"healthcare,innovation,technology,business,science"
Debbie Senesky,"Associate Professor of Aeronautics and Astronautics, of Electrical Engineering and Senior Fellow at the Precourt Institute for Energy","science,AI,technology,innovation,leadership"
